item	nominal	currency	maturity	period	interest_rate	interest_currency
6	45700000	USD	13	8	-0.8	USD
6	45700000	USD	13	9	-0.93	USD
6	45700000	USD	13	10	-1.11	USD
6	45700000	USD	13	1	0.53	EUR
6	45700000	USD	13	2	0.55	EUR
6	45700000	USD	13	3	0.7	EUR
6	45700000	USD	13	4	0.74	EUR
6	45700000	USD	13	5	0.88	EUR
6	45700000	USD	13	6	0.15	EUR
6	45700000	USD	13	7	1.13	EUR
6	45700000	USD	13	8	1.35	EUR
6	45700000	USD	13	9	1.57	EUR
6	45700000	USD	13	10	1.74	EUR
7	-1200000	EUR	12	1	0.28	USD
7	-1200000	EUR	12	2	0.13	USD
7	-1200000	EUR	12	3	0.02	USD
7	-1200000	EUR	12	4	-0.19	USD
7	-1200000	EUR	12	5	-0.38	USD
7	-1200000	EUR	12	6	-0.52	USD
7	-1200000	EUR	12	7	-0.69	USD
7	-1200000	EUR	12	8	-0.8	USD
7	-1200000	EUR	12	9	-0.93	USD
7	-1200000	EUR	12	10	-1.11	USD
7	-1200000	EUR	12	1	0.53	EUR
7	-1200000	EUR	12	2	0.55	EUR
7	-1200000	EUR	12	3	0.7	EUR
7	-1200000	EUR	12	4	0.74	EUR
7	-1200000	EUR	12	5	0.88	EUR
7	-1200000	EUR	12	6	0.15	EUR
7	-1200000	EUR	12	7	1.13	EUR
7	-1200000	EUR	12	8	1.35	EUR
7	-1200000	EUR	12	9	1.57	EUR
7	-1200000	EUR	12	10	1.74	EUR
8	-28400000	EUR	8	1	0.28	USD
8	-28400000	EUR	8	2	0.13	USD
8	-28400000	EUR	8	3	0.02	USD
8	-28400000	EUR	8	4	-0.19	USD
8	-28400000	EUR	8	5	-0.38	USD
8	-28400000	EUR	8	6	-0.52	USD
8	-28400000	EUR	8	7	-0.69	USD
8	-28400000	EUR	8	8	-0.8	USD
8	-28400000	EUR	8	9	-0.93	USD
8	-28400000	EUR	8	10	-1.11	USD
8	-28400000	EUR	8	1	0.53	EUR
8	-28400000	EUR	8	2	0.55	EUR
8	-28400000	EUR	8	3	0.7	EUR
8	-28400000	EUR	8	4	0.74	EUR
8	-28400000	EUR	8	5	0.88	EUR
8	-28400000	EUR	8	6	0.15	EUR
8	-28400000	EUR	8	7	1.13	EUR
8	-28400000	EUR	8	8	1.35	EUR
8	-28400000	EUR	8	9	1.57	EUR
8	-28400000	EUR	8	10	1.74	EUR
9	-9000000	USD	16	1	0.28	USD
9	-9000000	USD	16	2	0.13	USD
9	-9000000	USD	16	3	0.02	USD
9	-9000000	USD	16	4	-0.19	USD
9	-9000000	USD	16	5	-0.38	USD
9	-9000000	USD	16	6	-0.52	USD
9	-9000000	USD	16	7	-0.69	USD
9	-9000000	USD	16	8	-0.8	USD
9	-9000000	USD	16	9	-0.93	USD
9	-9000000	USD	16	10	-1.11	USD
9	-9000000	USD	16	1	0.53	EUR
9	-9000000	USD	16	2	0.55	EUR
9	-9000000	USD	16	3	0.7	EUR
9	-9000000	USD	16	4	0.74	EUR
9	-9000000	USD	16	5	0.88	EUR
9	-9000000	USD	16	6	0.15	EUR
9	-9000000	USD	16	7	1.13	EUR
9	-9000000	USD	16	8	1.35	EUR
9	-9000000	USD	16	9	1.57	EUR
9	-9000000	USD	16	10	1.74	EUR
10	-4800000	USD	10	1	0.28	USD
10	-4800000	USD	10	2	0.13	USD
10	-4800000	USD	10	3	0.02	USD
10	-4800000	USD	10	4	-0.19	USD
10	-4800000	USD	10	5	-0.38	USD
10	-4800000	USD	10	6	-0.52	USD
10	-4800000	USD	10	7	-0.69	USD
10	-4800000	USD	10	8	-0.8	USD
10	-4800000	USD	10	9	-0.93	USD
10	-4800000	USD	10	10	-1.11	USD
10	-4800000	USD	10	1	0.53	EUR
10	-4800000	USD	10	2	0.55	EUR
10	-4800000	USD	10	3	0.7	EUR
10	-4800000	USD	10	4	0.74	EUR
10	-4800000	USD	10	5	0.88	EUR
10	-4800000	USD	10	6	0.15	EUR
10	-4800000	USD	10	7	1.13	EUR
10	-4800000	USD	10	8	1.35	EUR
10	-4800000	USD	10	9	1.57	EUR
10	-4800000	USD	10	10	1.74	EUR
11	22200000	USD	8	1	0.28	USD
11	22200000	USD	8	2	0.13	USD
11	22200000	USD	8	3	0.02	USD
11	22200000	USD	8	4	-0.19	USD
11	22200000	USD	8	5	-0.38	USD
11	22200000	USD	8	6	-0.52	USD
11	22200000	USD	8	7	-0.69	USD
11	22200000	USD	8	8	-0.8	USD
11	22200000	USD	8	9	-0.93	USD
11	22200000	USD	8	10	-1.11	USD
11	22200000	USD	8	1	0.53	EUR
11	22200000	USD	8	2	0.55	EUR
11	22200000	USD	8	3	0.7	EUR
11	22200000	USD	8	4	0.74	EUR
11	22200000	USD	8	5	0.88	EUR
11	22200000	USD	8	6	0.15	EUR
11	22200000	USD	8	7	1.13	EUR
11	22200000	USD	8	8	1.35	EUR
11	22200000	USD	8	9	1.57	EUR
11	22200000	USD	8	10	1.74	EUR
12	-34400000	USD	10	1	0.28	USD
12	-34400000	USD	10	2	0.13	USD
12	-34400000	USD	10	3	0.02	USD
12	-34400000	USD	10	4	-0.19	USD
12	-34400000	USD	10	5	-0.38	USD
12	-34400000	USD	10	6	-0.52	USD
12	-34400000	USD	10	7	-0.69	USD
12	-34400000	USD	10	8	-0.8	USD
12	-34400000	USD	10	9	-0.93	USD
12	-34400000	USD	10	10	-1.11	USD
12	-34400000	USD	10	1	0.53	EUR
12	-34400000	USD	10	2	0.55	EUR
12	-34400000	USD	10	3	0.7	EUR
12	-34400000	USD	10	4	0.74	EUR
12	-34400000	USD	10	5	0.88	EUR
12	-34400000	USD	10	6	0.15	EUR
12	-34400000	USD	10	7	1.13	EUR
12	-34400000	USD	10	8	1.35	EUR
12	-34400000	USD	10	9	1.57	EUR
12	-34400000	USD	10	10	1.74	EUR
13	7600000	EUR	9	1	0.28	USD
13	7600000	EUR	9	2	0.13	USD
13	7600000	EUR	9	3	0.02	USD
13	7600000	EUR	9	4	-0.19	USD
13	7600000	EUR	9	5	-0.38	USD
13	7600000	EUR	9	6	-0.52	USD
13	7600000	EUR	9	7	-0.69	USD
13	7600000	EUR	9	8	-0.8	USD
13	7600000	EUR	9	9	-0.93	USD
13	7600000	EUR	9	10	-1.11	USD
13	7600000	EUR	9	1	0.53	EUR
13	7600000	EUR	9	2	0.55	EUR
13	7600000	EUR	9	3	0.7	EUR
13	7600000	EUR	9	4	0.74	EUR
13	7600000	EUR	9	5	0.88	EUR
13	7600000	EUR	9	6	0.15	EUR
13	7600000	EUR	9	7	1.13	EUR
13	7600000	EUR	9	8	1.35	EUR
13	7600000	EUR	9	9	1.57	EUR
13	7600000	EUR	9	10	1.74	EUR
14	2100000	EUR	16	1	0.28	USD
14	2100000	EUR	16	2	0.13	USD
14	2100000	EUR	16	3	0.02	USD
14	2100000	EUR	16	4	-0.19	USD
14	2100000	EUR	16	5	-0.38	USD
14	2100000	EUR	16	6	-0.52	USD
14	2100000	EUR	16	7	-0.69	USD
14	2100000	EUR	16	8	-0.8	USD
14	2100000	EUR	16	9	-0.93	USD
14	2100000	EUR	16	10	-1.11	USD
14	2100000	EUR	16	1	0.53	EUR
14	2100000	EUR	16	2	0.55	EUR
14	2100000	EUR	16	3	0.7	EUR
14	2100000	EUR	16	4	0.74	EUR
14	2100000	EUR	16	5	0.88	EUR
14	2100000	EUR	16	6	0.15	EUR
14	2100000	EUR	16	7	1.13	EUR
14	2100000	EUR	16	8	1.35	EUR
14	2100000	EUR	16	9	1.57	EUR
14	2100000	EUR	16	10	1.74	EUR
15	35100000	EUR	7	1	0.28	USD
15	35100000	EUR	7	2	0.13	USD
15	35100000	EUR	7	3	0.02	USD
15	35100000	EUR	7	4	-0.19	USD
15	35100000	EUR	7	5	-0.38	USD
15	35100000	EUR	7	6	-0.52	USD
15	35100000	EUR	7	7	-0.69	USD
15	35100000	EUR	7	8	-0.8	USD
15	35100000	EUR	7	9	-0.93	USD
15	35100000	EUR	7	10	-1.11	USD
15	35100000	EUR	7	1	0.53	EUR
15	35100000	EUR	7	2	0.55	EUR
15	35100000	EUR	7	3	0.7	EUR
15	35100000	EUR	7	4	0.74	EUR
15	35100000	EUR	7	5	0.88	EUR
15	35100000	EUR	7	6	0.15	EUR
15	35100000	EUR	7	7	1.13	EUR
15	35100000	EUR	7	8	1.35	EUR
15	35100000	EUR	7	9	1.57	EUR
15	35100000	EUR	7	10	1.74	EUR
16	-8800000	USD	9	1	0.28	USD
16	-8800000	USD	9	2	0.13	USD
16	-8800000	USD	9	3	0.02	USD
16	-8800000	USD	9	4	-0.19	USD
16	-8800000	USD	9	5	-0.38	USD
16	-8800000	USD	9	6	-0.52	USD
16	-8800000	USD	9	7	-0.69	USD
16	-8800000	USD	9	8	-0.8	USD
16	-8800000	USD	9	9	-0.93	USD
16	-8800000	USD	9	10	-1.11	USD
16	-8800000	USD	9	1	0.53	EUR
16	-8800000	USD	9	2	0.55	EUR
16	-8800000	USD	9	3	0.7	EUR
16	-8800000	USD	9	4	0.74	EUR
16	-8800000	USD	9	5	0.88	EUR
16	-8800000	USD	9	6	0.15	EUR
16	-8800000	USD	9	7	1.13	EUR
16	-8800000	USD	9	8	1.35	EUR
16	-8800000	USD	9	9	1.57	EUR
16	-8800000	USD	9	10	1.74	EUR
17	16600000	EUR	14	1	0.28	USD
17	16600000	EUR	14	2	0.13	USD
17	16600000	EUR	14	3	0.02	USD
17	16600000	EUR	14	4	-0.19	USD
17	16600000	EUR	14	5	-0.38	USD
17	16600000	EUR	14	6	-0.52	USD
17	16600000	EUR	14	7	-0.69	USD
17	16600000	EUR	14	8	-0.8	USD
17	16600000	EUR	14	9	-0.93	USD
17	16600000	EUR	14	10	-1.11	USD
17	16600000	EUR	14	1	0.53	EUR
17	16600000	EUR	14	2	0.55	EUR
17	16600000	EUR	14	3	0.7	EUR
17	16600000	EUR	14	4	0.74	EUR
17	16600000	EUR	14	5	0.88	EUR
17	16600000	EUR	14	6	0.15	EUR
17	16600000	EUR	14	7	1.13	EUR
17	16600000	EUR	14	8	1.35	EUR
17	16600000	EUR	14	9	1.57	EUR
17	16600000	EUR	14	10	1.74	EUR
18	-14400000	EUR	11	1	0.28	USD
18	-14400000	EUR	11	2	0.13	USD
18	-14400000	EUR	11	3	0.02	USD
18	-14400000	EUR	11	4	-0.19	USD
18	-14400000	EUR	11	5	-0.38	USD
18	-14400000	EUR	11	6	-0.52	USD
18	-14400000	EUR	11	7	-0.69	USD
18	-14400000	EUR	11	8	-0.8	USD
18	-14400000	EUR	11	9	-0.93	USD
18	-14400000	EUR	11	10	-1.11	USD
18	-14400000	EUR	11	1	0.53	EUR
18	-14400000	EUR	11	2	0.55	EUR
18	-14400000	EUR	11	3	0.7	EUR
18	-14400000	EUR	11	4	0.74	EUR
18	-14400000	EUR	11	5	0.88	EUR
18	-14400000	EUR	11	6	0.15	EUR
18	-14400000	EUR	11	7	1.13	EUR
18	-14400000	EUR	11	8	1.35	EUR
18	-14400000	EUR	11	9	1.57	EUR
18	-14400000	EUR	11	10	1.74	EUR
19	46900000	USD	6	1	0.28	USD
19	46900000	USD	6	2	0.13	USD
19	46900000	USD	6	3	0.02	USD
19	46900000	USD	6	4	-0.19	USD
19	46900000	USD	6	5	-0.38	USD
19	46900000	USD	6	6	-0.52	USD
19	46900000	USD	6	7	-0.69	USD
19	46900000	USD	6	8	-0.8	USD
19	46900000	USD	6	9	-0.93	USD
19	46900000	USD	6	10	-1.11	USD
19	46900000	USD	6	1	0.53	EUR
19	46900000	USD	6	2	0.55	EUR
19	46900000	USD	6	3	0.7	EUR
19	46900000	USD	6	4	0.74	EUR
19	46900000	USD	6	5	0.88	EUR
19	46900000	USD	6	6	0.15	EUR
19	46900000	USD	6	7	1.13	EUR
19	46900000	USD	6	8	1.35	EUR
19	46900000	USD	6	9	1.57	EUR
19	46900000	USD	6	10	1.74	EUR
20	2500000	USD	10	1	0.28	USD
20	2500000	USD	10	2	0.13	USD
20	2500000	USD	10	3	0.02	USD
20	2500000	USD	10	4	-0.19	USD
20	2500000	USD	10	5	-0.38	USD
20	2500000	USD	10	6	-0.52	USD
20	2500000	USD	10	7	-0.69	USD
20	2500000	USD	10	8	-0.8	USD
20	2500000	USD	10	9	-0.93	USD
20	2500000	USD	10	10	-1.11	USD
20	2500000	USD	10	1	0.53	EUR
20	2500000	USD	10	2	0.55	EUR
20	2500000	USD	10	3	0.7	EUR
20	2500000	USD	10	4	0.74	EUR
20	2500000	USD	10	5	0.88	EUR
20	2500000	USD	10	6	0.15	EUR
20	2500000	USD	10	7	1.13	EUR
20	2500000	USD	10	8	1.35	EUR
20	2500000	USD	10	9	1.57	EUR
20	2500000	USD	10	10	1.74	EUR
21	22300000	EUR	11	1	0.28	USD
21	22300000	EUR	11	2	0.13	USD
21	22300000	EUR	11	3	0.02	USD
21	22300000	EUR	11	4	-0.19	USD
21	22300000	EUR	11	5	-0.38	USD
21	22300000	EUR	11	6	-0.52	USD
21	22300000	EUR	11	7	-0.69	USD
21	22300000	EUR	11	8	-0.8	USD
21	22300000	EUR	11	9	-0.93	USD
21	22300000	EUR	11	10	-1.11	USD
21	22300000	EUR	11	1	0.53	EUR
21	22300000	EUR	11	2	0.55	EUR
21	22300000	EUR	11	3	0.7	EUR
21	22300000	EUR	11	4	0.74	EUR
21	22300000	EUR	11	5	0.88	EUR
21	22300000	EUR	11	6	0.15	EUR
21	22300000	EUR	11	7	1.13	EUR
21	22300000	EUR	11	8	1.35	EUR
21	22300000	EUR	11	9	1.57	EUR
21	22300000	EUR	11	10	1.74	EUR
22	-27000000	USD	7	1	0.28	USD
22	-27000000	USD	7	2	0.13	USD
22	-27000000	USD	7	3	0.02	USD
22	-27000000	USD	7	4	-0.19	USD
22	-27000000	USD	7	5	-0.38	USD
22	-27000000	USD	7	6	-0.52	USD
22	-27000000	USD	7	7	-0.69	USD
22	-27000000	USD	7	8	-0.8	USD
22	-27000000	USD	7	9	-0.93	USD
22	-27000000	USD	7	10	-1.11	USD
22	-27000000	USD	7	1	0.53	EUR
22	-27000000	USD	7	2	0.55	EUR
22	-27000000	USD	7	3	0.7	EUR
22	-27000000	USD	7	4	0.74	EUR
22	-27000000	USD	7	5	0.88	EUR
22	-27000000	USD	7	6	0.15	EUR
22	-27000000	USD	7	7	1.13	EUR
22	-27000000	USD	7	8	1.35	EUR
22	-27000000	USD	7	9	1.57	EUR
22	-27000000	USD	7	10	1.74	EUR
23	-12900000	EUR	15	1	0.28	USD
23	-12900000	EUR	15	2	0.13	USD
23	-12900000	EUR	15	3	0.02	USD
23	-12900000	EUR	15	4	-0.19	USD
23	-12900000	EUR	15	5	-0.38	USD
23	-12900000	EUR	15	6	-0.52	USD
23	-12900000	EUR	15	7	-0.69	USD
23	-12900000	EUR	15	8	-0.8	USD
23	-12900000	EUR	15	9	-0.93	USD
23	-12900000	EUR	15	10	-1.11	USD
23	-12900000	EUR	15	1	0.53	EUR
23	-12900000	EUR	15	2	0.55	EUR
23	-12900000	EUR	15	3	0.7	EUR
23	-12900000	EUR	15	4	0.74	EUR
23	-12900000	EUR	15	5	0.88	EUR
23	-12900000	EUR	15	6	0.15	EUR
23	-12900000	EUR	15	7	1.13	EUR
23	-12900000	EUR	15	8	1.35	EUR
23	-12900000	EUR	15	9	1.57	EUR
23	-12900000	EUR	15	10	1.74	EUR
24	22600000	EUR	15	1	0.28	USD
24	22600000	EUR	15	2	0.13	USD
24	22600000	EUR	15	3	0.02	USD
24	22600000	EUR	15	4	-0.19	USD
24	22600000	EUR	15	5	-0.38	USD
24	22600000	EUR	15	6	-0.52	USD
24	22600000	EUR	15	7	-0.69	USD
24	22600000	EUR	15	8	-0.8	USD
24	22600000	EUR	15	9	-0.93	USD
24	22600000	EUR	15	10	-1.11	USD
24	22600000	EUR	15	1	0.53	EUR
24	22600000	EUR	15	2	0.55	EUR
24	22600000	EUR	15	3	0.7	EUR
24	22600000	EUR	15	4	0.74	EUR
24	22600000	EUR	15	5	0.88	EUR
24	22600000	EUR	15	6	0.15	EUR
24	22600000	EUR	15	7	1.13	EUR
24	22600000	EUR	15	8	1.35	EUR
24	22600000	EUR	15	9	1.57	EUR
24	22600000	EUR	15	10	1.74	EUR
25	-41100000	EUR	10	1	0.28	USD
25	-41100000	EUR	10	2	0.13	USD
25	-41100000	EUR	10	3	0.02	USD
25	-41100000	EUR	10	4	-0.19	USD
25	-41100000	EUR	10	5	-0.38	USD
25	-41100000	EUR	10	6	-0.52	USD
25	-41100000	EUR	10	7	-0.69	USD
25	-41100000	EUR	10	8	-0.8	USD
25	-41100000	EUR	10	9	-0.93	USD
25	-41100000	EUR	10	10	-1.11	USD
25	-41100000	EUR	10	1	0.53	EUR
25	-41100000	EUR	10	2	0.55	EUR
25	-41100000	EUR	10	3	0.7	EUR
25	-41100000	EUR	10	4	0.74	EUR
25	-41100000	EUR	10	5	0.88	EUR
25	-41100000	EUR	10	6	0.15	EUR
25	-41100000	EUR	10	7	1.13	EUR
25	-41100000	EUR	10	8	1.35	EUR
25	-41100000	EUR	10	9	1.57	EUR
25	-41100000	EUR	10	10	1.74	EUR
26	35400000	EUR	9	1	0.28	USD
26	35400000	EUR	9	2	0.13	USD
26	35400000	EUR	9	3	0.02	USD
26	35400000	EUR	9	4	-0.19	USD
26	35400000	EUR	9	5	-0.38	USD
26	35400000	EUR	9	6	-0.52	USD
26	35400000	EUR	9	7	-0.69	USD
26	35400000	EUR	9	8	-0.8	USD
26	35400000	EUR	9	9	-0.93	USD
26	35400000	EUR	9	10	-1.11	USD
26	35400000	EUR	9	1	0.53	EUR
26	35400000	EUR	9	2	0.55	EUR
26	35400000	EUR	9	3	0.7	EUR
26	35400000	EUR	9	4	0.74	EUR
26	35400000	EUR	9	5	0.88	EUR
26	35400000	EUR	9	6	0.15	EUR
26	35400000	EUR	9	7	1.13	EUR
26	35400000	EUR	9	8	1.35	EUR
26	35400000	EUR	9	9	1.57	EUR
26	35400000	EUR	9	10	1.74	EUR
27	-38800000	EUR	7	1	0.28	USD
27	-38800000	EUR	7	2	0.13	USD
27	-38800000	EUR	7	3	0.02	USD
27	-38800000	EUR	7	4	-0.19	USD
27	-38800000	EUR	7	5	-0.38	USD
27	-38800000	EUR	7	6	-0.52	USD
27	-38800000	EUR	7	7	-0.69	USD
27	-38800000	EUR	7	8	-0.8	USD
27	-38800000	EUR	7	9	-0.93	USD
27	-38800000	EUR	7	10	-1.11	USD
27	-38800000	EUR	7	1	0.53	EUR
27	-38800000	EUR	7	2	0.55	EUR
27	-38800000	EUR	7	3	0.7	EUR
27	-38800000	EUR	7	4	0.74	EUR
27	-38800000	EUR	7	5	0.88	EUR
27	-38800000	EUR	7	6	0.15	EUR
27	-38800000	EUR	7	7	1.13	EUR
27	-38800000	EUR	7	8	1.35	EUR
27	-38800000	EUR	7	9	1.57	EUR
27	-38800000	EUR	7	10	1.74	EUR
28	32900000	EUR	8	1	0.28	USD
28	32900000	EUR	8	2	0.13	USD
28	32900000	EUR	8	3	0.02	USD
28	32900000	EUR	8	4	-0.19	USD
28	32900000	EUR	8	5	-0.38	USD
28	32900000	EUR	8	6	-0.52	USD
28	32900000	EUR	8	7	-0.69	USD
28	32900000	EUR	8	8	-0.8	USD
28	32900000	EUR	8	9	-0.93	USD
28	32900000	EUR	8	10	-1.11	USD
28	32900000	EUR	8	1	0.53	EUR
28	32900000	EUR	8	2	0.55	EUR
28	32900000	EUR	8	3	0.7	EUR
28	32900000	EUR	8	4	0.74	EUR
28	32900000	EUR	8	5	0.88	EUR
28	32900000	EUR	8	6	0.15	EUR
28	32900000	EUR	8	7	1.13	EUR
28	32900000	EUR	8	8	1.35	EUR
28	32900000	EUR	8	9	1.57	EUR
28	32900000	EUR	8	10	1.74	EUR
29	10300000	EUR	7	1	0.28	USD
29	10300000	EUR	7	2	0.13	USD
29	10300000	EUR	7	3	0.02	USD
29	10300000	EUR	7	4	-0.19	USD
29	10300000	EUR	7	5	-0.38	USD
29	10300000	EUR	7	6	-0.52	USD
29	10300000	EUR	7	7	-0.69	USD
29	10300000	EUR	7	8	-0.8	USD
29	10300000	EUR	7	9	-0.93	USD
29	10300000	EUR	7	10	-1.11	USD
29	10300000	EUR	7	1	0.53	EUR
29	10300000	EUR	7	2	0.55	EUR
29	10300000	EUR	7	3	0.7	EUR
29	10300000	EUR	7	4	0.74	EUR
29	10300000	EUR	7	5	0.88	EUR
29	10300000	EUR	7	6	0.15	EUR
29	10300000	EUR	7	7	1.13	EUR
29	10300000	EUR	7	8	1.35	EUR
29	10300000	EUR	7	9	1.57	EUR
29	10300000	EUR	7	10	1.74	EUR
30	-45200000	EUR	7	1	0.28	USD
30	-45200000	EUR	7	2	0.13	USD
30	-45200000	EUR	7	3	0.02	USD
30	-45200000	EUR	7	4	-0.19	USD
30	-45200000	EUR	7	5	-0.38	USD
30	-45200000	EUR	7	6	-0.52	USD
30	-45200000	EUR	7	7	-0.69	USD
30	-45200000	EUR	7	8	-0.8	USD
30	-45200000	EUR	7	9	-0.93	USD
30	-45200000	EUR	7	10	-1.11	USD
30	-45200000	EUR	7	1	0.53	EUR
30	-45200000	EUR	7	2	0.55	EUR
30	-45200000	EUR	7	3	0.7	EUR
30	-45200000	EUR	7	4	0.74	EUR
30	-45200000	EUR	7	5	0.88	EUR
30	-45200000	EUR	7	6	0.15	EUR
30	-45200000	EUR	7	7	1.13	EUR
30	-45200000	EUR	7	8	1.35	EUR
30	-45200000	EUR	7	9	1.57	EUR
30	-45200000	EUR	7	10	1.74	EUR
31	-45400000	USD	14	1	0.28	USD
31	-45400000	USD	14	2	0.13	USD
31	-45400000	USD	14	3	0.02	USD
31	-45400000	USD	14	4	-0.19	USD
31	-45400000	USD	14	5	-0.38	USD
31	-45400000	USD	14	6	-0.52	USD
31	-45400000	USD	14	7	-0.69	USD
31	-45400000	USD	14	8	-0.8	USD
31	-45400000	USD	14	9	-0.93	USD
31	-45400000	USD	14	10	-1.11	USD
31	-45400000	USD	14	1	0.53	EUR
31	-45400000	USD	14	2	0.55	EUR
31	-45400000	USD	14	3	0.7	EUR
31	-45400000	USD	14	4	0.74	EUR
31	-45400000	USD	14	5	0.88	EUR
31	-45400000	USD	14	6	0.15	EUR
31	-45400000	USD	14	7	1.13	EUR
31	-45400000	USD	14	8	1.35	EUR
31	-45400000	USD	14	9	1.57	EUR
31	-45400000	USD	14	10	1.74	EUR
32	-39600000	USD	8	1	0.28	USD
32	-39600000	USD	8	2	0.13	USD
32	-39600000	USD	8	3	0.02	USD
32	-39600000	USD	8	4	-0.19	USD
32	-39600000	USD	8	5	-0.38	USD
32	-39600000	USD	8	6	-0.52	USD
32	-39600000	USD	8	7	-0.69	USD
32	-39600000	USD	8	8	-0.8	USD
32	-39600000	USD	8	9	-0.93	USD
32	-39600000	USD	8	10	-1.11	USD
32	-39600000	USD	8	1	0.53	EUR
32	-39600000	USD	8	2	0.55	EUR
32	-39600000	USD	8	3	0.7	EUR
